chunk_id,precision,recall,f1_score,true_positives,false_positives,false_negatives,total_extracted,total_ground_truth,ontology_alignment,ontology_confidence,false_positive_triples,false_negative_facts
individualised-learner-record-p43-103-91af0463,0.9,0.75,0.8182,9,1,3,10,12,Pass,0.95,institution -> has_legal_duty -> provide_pre_entry_advice_and_guidance,- individualised_learner_record -> is_used_by -> institutions_other_than_those_recording_data_using_school_census; - individualised_learner_record -> records -> all_relevant_funding_data; - learning_agreement_enrolment_form -> is_signed_by -> institution_and_student
prevent-duty-171-the-prevent-d-p43-104-655f925b,0.9286,1.0,0.963,13,1,0,14,13,Pass,0.95,institutions -> has_legal_duty -> prevent_terrorism,
prince-s-trust-team-programme-p44-106-3087a95c,1.0,1.0,1.0,8,0,0,8,8,Pass,1.0,,
school-census-174-the-departme-p44-107-a17979ce,0.75,0.8,0.7742,12,4,3,16,15,Pass,0.95,funding_recording -> is_governed_by -> funding_regulations; funding_regulations -> defines -> funding_element; funding_element -> evaluates -> activity; activity -> has_funding_impact -> funding_impact,1. start_date -> determines -> whether_funding_should_be_recorded; 2. qualifying_periods_of_attendance -> count_as -> funding_start; 3. funding -> should_be -> recorded
t-level-176-t-level-are-funded-p44-108-5adcd319,0.9,1.0,0.9474,9,1,0,10,9,Pass,0.9,funding_rates_and_formula_guidance -> has_associated_document -> gov_uk_funding_info,
6-subcontracting-subcontracted-p46-109-54483a9a,0.8,0.7273,0.7619,8,2,3,10,11,Pass,0.95,subcontracting_funding_rules -> has_replacement_activity -> published_full_advice_on_website; published_full_advice_on_website -> is_status_of -> subcontracting_funding_rules,subcontracting_funding_rules -> is_published -> true; subcontracting_requirements_for_16_to_19_funding -> is_set_out_in -> 16_to_19_funding_Annex; subcontracting_funding_rules -> replaces -> earlier_draft_advice
annex-16-to-19-funding-subcont-p46-110-43dca981,0.9,1.0,0.9474,9,1,0,10,9,Pass,0.95,subcontractor -> performs -> eep_activity,
monitoring-of-your-subcontract-p46-111-a791340b,1.0,0.6667,0.8,14,0,7,14,21,Pass,0.95,,contract -> is_part_of -> subcontractor_monitoring_activity; learner_access -> is_full -> true; learner_access -> includes -> additional_unspecified_elements; learner -> has_information_about -> funding_bursary_16_to_19; learner -> has_information_about -> student_support_funding; learner -> has_information_about -> information_advice_and_guidance; learner -> has_information_about -> learning_support_if_required
controls-over-students-tutors-p46-112-f034a4b9,1.0,0.9286,0.963,13,0,1,13,14,Pass,0.95,,learning_agreement -> reflects -> initial_guidance_and_assessment_outcome
183-you-must-make-sure-that-yo-p47-113-3c650e09,1.0,1.0,1.0,8,0,0,8,8,Pass,0.95,,
distance-subcontracted-deliver-p47-114-577aafe6,0.8333,0.7143,0.7692,10,2,4,12,14,Pass,0.85,institution -> provides_service -> distance_subcontracting; institution -> provides_service -> whole_programme_subcontracting,normal_recruitment_area -> is_defined_in -> Funding_regulations_guidance; distance_subcontracting -> requires -> same_level_of_management_control_safeguarding_and_compliance; institution -> must_seek_approval_for -> continuing_or_new_arrangements_for_distance_subcontracting; institution -> must_seek_approval_for -> continuing_or_new_arrangements_for_whole_programme_subcontracting
191-schools-and-academies-must-p48-115-e8ef393f,1.0,1.0,1.0,10,0,0,10,10,Pass,0.95,,
193-when-a-subcontractor-wants-p48-116-d053b112,1.0,0.7857,0.88,11,0,3,11,14,Pass,0.95,,third_party -> could_include -> sports_club; provider -> must_take_steps -> assure_third_party_facilities_and_safeguarding; provider -> must_ensure_clarity_with -> sports_club
annex-a-acronyms-and-glossary-p48-117-b8217ac3,0.84,0.75,0.7925,21,4,7,25,28,Pass,0.9,department_for_education -> is_educational_entity -> TRUE; education_health_and_care_plan -> is_educational_entity -> TRUE; full_time_equivalent -> is_measurement_type -> TRUE; local_authorities -> is_educational_entity -> TRUE,2021/2022_academic_year -> denotes_esfa_funding_year -> August_2021_to_July_2022; 2021-21 -> denotes_financial_year -> April_2021_to_March_2022; cdf -> has_purpose -> work_placements; employment_enrichment_and_pastoral -> has_description -> planned_hours; find_a_learning_aim -> will_replace -> Learning_Aim_Reference_Service; las -> has_abbreviation -> Learning_Aim_Reference_Service; Sector_Subject_Area -> has_description -> UTC_Sector_Subject_Area
annex-b-planned-hours-and-time-p50-122-2abd0600,0.8462,0.7857,0.8148,11,2,3,13,14,Pass,0.85,institutions -> has_legal_duty -> record_planned_hours_accordingly; student_timetable -> includes -> learning_agreement,institutions -> must_show -> simple_format; institutions -> must_record -> accurately_in_accordance_with_hours; table_1 -> is_part_of -> evidence_of_student_eligibility
for-student-eligibility-for-pu-p51-123-9f987806,0.9091,0.9091,0.9091,10,1,1,11,11,Pass,0.9,activity -> is_valid_learning_activity -> TRUE,learning_plan -> sets_out -> study_programme
institutions-must-ensure-that-p51-124-cc88d350,0.8333,0.7143,0.7692,10,2,4,12,14,Pass,0.85,planned_hours -> is_counted_as_planned_hours -> TRUE; eligible_activity -> is_valid_learning_activity -> TRUE,institution -> ensures_deliverability_to_individual_students -> planned_hours; eligible_activity -> is_supported_by_evidence -> existence; completed -> requires_evidence_from -> external_awarding_body_or_learning_activities; continuing -> has_attendance_evidence_from -> registers_or_other_sources
core-aim-learning-plan-indicat-p52-126-f7a6bbfb,1.0,0.8571,0.9231,6,0,1,6,7,Pass,0.95,,core_aim_identification -> applies_only_to -> vocational_or_mixed_vocational_programmes
usually-recognised-as-educatio-p52-128-6ca6537e,1.0,0.6154,0.7619,8,0,5,8,13,Pass,0.9,,staffing_costs -> are_recognised_as -> educational_costs; premises_costs -> relate_directly_to -> delivery_of_education_and_training; equipment_material_costs -> are_wholly_attributable_to -> education_training_delivery; staffing_costs_commercial -> are_met_from -> commercial_activities; apportionment_model -> applies_to -> split_between_commercial_and_educational_activities
are-building-and-premises-cost-p52-129-15a723de,1.0,0.8333,0.9091,10,0,2,10,12,Pass,0.9,,weekly_wage -> is_payment_to -> individual_students; attendance_allowance -> is_payment_to -> individual_students
3-esfa-has-included-2-examples-p52-130-35f91e9f,1.0,0.7,0.8235,14,0,6,14,20,Pass,0.9,,esfa -> includes -> 2_examples; individual_student_summary_planned_hours -> corresponds_to -> detailed_timetable; individual_student_summary_planned_hours -> corresponds_to -> learning_agreement; institutions -> produces_similar_schedules -> funding_audit_samples; management_information_system -> records_in -> 2_main_ways; institutions -> must_ensure_additional_evidence -> for_each_recording_method
a-recording-planned-hours-at-i-p53-131-498863f3,1.0,0.8333,0.9091,15,0,3,15,18,Pass,0.95,,- planned_hours -> are_calculated_by_adding -> individual_learning_aim_and_activity_level; - eep_hours -> are_not_recorded_under -> learning_aim; - audit_process -> is_more_straightforward_when -> planned_hours_breakdown_compares_to_other_evidence
advice-to-funding-auditors-onl-p53-132-c9cc511b,0.9412,0.7273,0.8205,16,1,6,17,22,Pass,0.95,funding_advice -> is_issued_by -> educational_authority,funding_advice -> aims_to_reduce -> evidential_issues_for_current_funding_year; discretion -> is_helpful_for -> institutions; learning_aim -> leads_to -> first_full_Level_3_or_Level_2_programme; simplified_funding_audit_rules -> apply_where_learning_aim_recommends -> minimum_450_glh; institution -> must_evidence_success_in -> delivering_learning_aims; funding_advice -> is_issued_to -> all_funding_auditors
students-doing-3-or-more-as-o-p53-133-3b966135,1.0,1.0,1.0,17,0,0,17,17,Pass,0.95,,
subject-or-activity-planned-pl-p55-135-9200a362,1.0,1.0,1.0,19,0,0,19,19,Pass,0.95,,
the-qualification-planned-hou-p55-136-fdfe84a5,1.0,0.9,0.9474,18,0,2,18,20,Pass,0.95,,academic_year -> has_start_date -> august_2021; academic_year -> has_end_date -> july_2022
annex-c-withdrawals-compliance-p56-140-948458a6,1.0,0.9375,0.9677,15,0,1,15,16,Pass,0.95,,funding_position -> related_to -> eligibility_to_count_students_for_funding_purposes
4-for-distance-learning-provis-p57-141-8268713b,0.9375,0.5556,0.6977,15,1,12,16,27,Pass,0.95,timely_withdrawal_action -> has_temporal_value -> within_4_weeks,institution -> must_withdraw -> student; student -> has_absence_duration -> 4_continuous_weeks; absence_duration -> excludes -> holidays; student -> has_absence_duration -> more_than_4_weeks; institution -> must_provide -> auditable_evidence; auditable_evidence -> of -> intention_to_return; institution -> must_withdraw -> student; student -> has_absence_duration -> 4_continuous_weeks; absence_duration -> excludes -> holidays; student -> has_absence_duration -> more_than_4_weeks; institution -> must_provide -> auditable_evidence; auditable_evidence -> of -> intention_to_return
7-institutions-must-record-stu-p57-142-73bd29f2,0.9231,0.75,0.8276,12,1,4,13,16,Pass,0.85,withdrawal_date -> is_status_of -> student_record_flagged_as_withdrawn,institution -> must_record_withdrawal_dates -> promptly_and_accurately; withdrawal_date -> reflects -> last_actual_recorded_attendance; withdrawal_date -> is_not -> date_record_flagged_as_withdrawn; student_classification -> is_withdrawn_after -> four_weeks_since_last_attendance_or_missed_contact
10-when-checking-the-withdrawa-p57-143-908f4576,1.0,0.9091,0.9524,10,0,1,10,11,Pass,0.95,,missing_fact: esfa -> does_not_expect -> systematic_pattern_around_other_key_dates
12-an-institution-should-also-p58-144-5675e1bf,1.0,0.6667,0.8,8,0,4,8,12,Pass,0.95,,1. institution -> provides -> planned_timetable_for_assignment_receipt; 2. institution -> checks_with -> students_who_have_not_provided_assignment_on_due_date; 3. institution -> should_help -> students_complete_their_programmes; 4. subcontractor -> implements -> guidance
additional-clarification-on-wi-p58-145-1f61050a,1.0,0.8889,0.9412,16,0,2,16,18,Pass,0.95,,withdrawn_qualification -> excluded_from -> total_hours_for_the_year; included_timetabled_hours -> based_on -> significant_material_difference
if-the-learner-withdraws-from-p58-146-ad5766c8,0.8462,0.8462,0.8462,11,2,2,13,13,Pass,0.9,full_time_student -> reduces_programme -> becomes_part_time_student; date_of_withdrawal -> can_be_used_as_withdrawal_date -> contacted_by_staff_date,full_time_student -> remains -> full_time_for_statistical_and_funding_purposes; contacted_by_staff -> cannot_be_counted_as -> guided_learning
a5-no-learning-must-be-specifi-p59-147-edc80374,0.8571,1.0,0.9231,12,2,0,14,12,Pass,0.95,sits_examination_early_june -> is_counted_as_planned_hours -> TRUE; student -> has_completion_status -> likely_successful_completion_if_passed,
q8-is-the-date-of-withdrawal-f-p59-148-dc551e47,1.0,0.625,0.7692,10,0,6,10,16,Pass,0.95,,traineeship -> has_progression_outcome -> sustainable_employment; traineeship -> has_progression_outcome -> full_time_education; traineeship -> has_progression_outcome -> other_training; traineeship -> has_progression_outcome -> apprenticeship; student -> is_marked_as_completed_in -> Individualised_Learner_Record_data_return; traineeship -> has_planned_hours_section_reference -> Recording_planned_hours
q11-if-a-young-person-complete-p60-149-ae44e242,0.9,0.75,0.8182,9,1,3,10,12,Pass,0.9,institution -> has_legal_duty -> inform_local_authority,student -> leaves_learning_after -> last_exam; student -> leaves_learning_after -> last_marked_assignment; funding_impact -> depends_on -> material_difference
q13-when-does-the-first-six-we-p60-150-21cee00c,0.9,0.9,0.9,9,1,1,10,10,Pass,0.95,student -> has_funding_start_status -> crosses_into_new_year,six_week_period -> starts_when -> student_programme_crosses_into_new_funding_year
q15-when-a-student-completes-a-p61-151-abf3436e,1.0,0.9231,0.96,12,0,1,12,13,Pass,0.95,,study_programme -> has_completion_criteria -> equivalent_start_period_needed_for_funding
it-is-particularly-important-t-p61-152-35faf5ab,0.6,0.375,0.4615,3,2,5,5,8,Pass,0.9,providers -> has_legal_duty -> adjust_planned_hours_for_early_completers; providers -> has_legal_duty -> reduce_effect_on_retention_factor,1. providers -> must_consider -> multiple_students_completing_early; 2. providers -> must_not_include -> early_completers_in_average_planned_hours; 3. providers -> must_not_record -> planned_hours_at_financially_related_institutions; 4. providers -> must_adjust -> planned_hours_when_students_withdraw; 5. providers -> reduces_effect_on_retention_factor -> due_to_lower_funding_band
the-institution-has-a-choice-f-p61-153-533ca5ac,0.9,0.75,0.8182,9,1,3,10,12,Pass,0.9,institution -> provides_assistance -> student_withdrawal_process,- institution -> prefers_reducing_hours_over_funding_overlap_assessment -> because_easier; - funding_claim_report -> specific_to_age_range -> 16_to_19; - funding_reduction -> corresponds_to -> actual_attendance_period
annex-d-condition-of-funding-o-p62-154-10fee58a,1.0,1.0,1.0,15,0,0,15,15,Pass,0.95,,
3-4-we-made-a-change-to-our-ma-p62-155-4f0e1a00,1.0,1.0,1.0,11,0,0,11,11,Pass,0.95,,
enrolments-and-exemptions-9-to-p63-156-76f0d8c0,0.8889,0.7273,0.8,8,1,3,9,11,Pass,0.95,overseas_qualification -> corresponds_to_learning_aim -> gcse_grade_9_to_4,qualifying_period -> is_against -> maths_and_or_english_aim; student_with_complex_needs -> can_be_exempt -> approved_stepping_stone_qualification; student_from_non_gcse_country -> can_be_exempt -> gcse_funding_condition
12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d,0.6923,0.75,0.72,9,4,3,13,12,Pass,0.85,institution -> has_legal_duty -> ensure_funding_condition_met; funding_regulations -> governs -> funding_element; funding_element -> defines -> funding_impact; funding_element -> evaluates -> student_achievement,student_16_to_19 -> studies_qualification_outside_study_programme -> qualification; funding_condition -> has_tolerance_level -> 5_percent_until_further_notice; funding_condition -> has_description -> condition_of_funding_webpage
funding-eligibility-summary-1-p64-158-8bea8b17,0.6154,0.5714,0.5926,8,5,6,13,14,Pass,0.95,sixth_form -> corresponds_to_learning_aim -> school_census_returns; academy -> provides_assistance -> school_sixth_form; academy -> participates_in -> funding_guidance_for_young_people_program; esfa -> evaluates -> sixth_form_closure_impact; sixth_form_closure -> has_reason -> planning_decision,- annex_e -> has_purpose -> summarise_main_student_eligibility_section; - annex_e -> has_purpose -> include_additional_guidance_relevant_to_academy_and_school_sixth_form_provision; - academies_or_schools_making_ilr_returns -> must -> read_and_comply_with_separate_advice; - esfa_notification -> must_be_done -> before_start_of_academic_year; - esfa -> will_withdraw_allocation -> depending_on_year_13_students; - late_notification -> results_in_recovery_of_funds -> from_year_ceasing_recruitment_for_year_12
4-where-an-institution-has-not-p64-159-a9e872ee,0.8,0.8,0.8,8,2,2,10,10,Pass,0.9,institution -> has_legal_duty -> withdraw_funding_if_no_enrollment; institution -> plans_closure -> sixth_form,institution -> does_not_recruit -> students; data_returns -> reveal -> no_students_enrolled
funding-data-arrangements-main-p64-160-a0c6d849,1.0,0.7895,0.8824,15,0,4,15,19,Pass,0.95,,missing_fact: sixth_form -> provides_access -> data_records; missing_fact: mixed_study_programme -> has_learning_aim -> core_learning_aim; missing_fact: control_procedures -> aim -> minimize_error_levels; missing_fact: student_learning_aims -> collected_at -> any_point_during_year
7-8-schools-and-academies-must-p65-161-7665d096,1.0,1.0,1.0,18,0,0,18,18,Pass,0.95,,
it-is-important-that-instituti-p65-162-80b7250a,0.9231,0.8,0.8571,12,1,3,13,15,Pass,0.95,qualifications -> is_funded_by -> sixth_forms,start_date -> must_be_completed -> accurately; end_date -> must_be_completed -> accurately; data_collection -> is_not -> snapshot_data
15-the-difference-between-a-tr-p66-163-44cc3d4f,1.0,0.9091,0.9524,10,0,1,10,11,Pass,0.95,,"annex_f -> defines -> European Union, European Economic Area, eligible overseas dependent territories"
austria-germany-netherlands-be-p67-165-09ac39f3,1.0,1.0,1.0,26,0,0,26,26,Not Pass,0.2,,
france-notes-on-certain-territ-p67-166-d8c03da2,1.0,0.8889,0.9412,24,0,3,24,27,Pass,0.95,,heligoland -> is -> tax-free_port; french_overseas_department -> part_of -> metropolitan_france; former_german_democratic_republic_territory -> prior_to -> german_unification
3-this-includes-all-the-europe-p67-167-bb4b5746,1.0,0.9091,0.9524,10,0,1,10,11,Pass,0.95,,switzerland -> treated_as_part_of_eea_for -> esfa_funding_eligibility_assessments_by_institutions
3-this-includes-all-the-europe-p67-167-uma4b5746,1.0,0.9615,0.9804,25,0,1,25,26,Pass,0.95,,eu_member_state_territories -> applies_to -> individuals_who_moved_to_uk_before_january_1_2021
coronavirus-coronavirus-and-im-p8-5-5e86d832,1.0,1.0,1.0,10,0,0,10,10,Pass,0.95,,
