chunk_id,page_number,index,text,word_count
students-not-eligible-for-esfa-p24-53-7e6a580e,24,52,"Students not eligible for ESFA funding 67. Students are usually only eligible for one ESFA funding model as the funding provided is intended to cover the whole of their learning programmes. For example, a school sixth form student will be ineligible for other ESFA funding. All and any additional educational programmes that are appropriate for individual students should be claimed through their full time institution. All students attending private fee paying institutions are ineligible for 16 to 19 funding study programme funding at all ESFA funded institutions and any of their subcontractors. 68. There is one exception to the above paragraph, agreed by the Secretary of State, that students who are studying the Diploma in Sporting Excellence in the academic year 2021/2022 academic year will be able to combine study of these awards with academic or vocational learning. These students must have their chosen sport's governing body approval and be enrolled with specific ESFA institutions whose funding agreement/contract contains the relevant annex.",162
69-students-whose-whole-progra-p25-54-28e6e466,25,53,"Students whose whole programme is delivered through distance subcontracted arrangements must comply with the guidance in the subcontracting control regulations. 70. Students undertaking full time higher education (Higher Education) programmes are ineligible for ESFA young people's funding. 71. All students who require a Confirmation of Acceptance of Studies (CAS) in order to obtain Home Office Student visa to study in UK are ineligible for ESFA funding. Students from overseas whose main reason for residence in England has been attendance at a fee-paying school or non-maintained school are not usually eligible for funding. Periods spent in the UK as overseas fee-paying students in either public or private education do not count towards the 3 year period of legal residency in the UK that is usually required from all overseas students to be eligible for ESFA funding. 72. For funding purposes, an 'overseas' student will be defined as one who does not meet the criteria defining a 'home' student as also set out in paragraphs 38 to 41 above. Overseas students are not eligible for funding and institutions can charge these students full-cost tuition fees.",184
73-all-students-living-in-the-p25-55-dd2dcdce,25,54," All students living in the Channel Islands and Isle of Man are ineligible for ESFA funding as the funding responsibility for their programmes remain with their own independent governments. Compliance evidence of student eligibility 74. This is the core ESFA funding compliance or funding audit guidance on evidencing existence and eligibility of all students on ESFA young people's funded study programmes. 75. ESFA recognises that different procedures and emphasis will be appropriate to different types of student. It is for institutions to decide what procedures to carry out. Institutions that choose not to carry out any procedures will put their programme funding at risk. Therefore, institutions must have auditable evidence of: the process used for the enrolment the record of teaching or support activity for each student • evidence of the students age to support the safeguarding of all students attending the institution 76. Institutions must scrutinise applications for study by all students to ensure that they are eligible for ESFA funding according to all advice in this section and to support the student's case for consideration as ordinarily resident in England.",183
77-in-line-with-the-general-da-p26-56-bf2992b8,26,55," In line with the General Data Protection Regulation, we advise institutions to record documentation, rather than take copies to prove eligibility. This includes relevant documentary evidence to support individual student eligibility granted for students who have not been ordinarily resident for 3 years. When institutions record that they have seen documentation, they must be fully aware of the implications of the documents they are approving. In particular, ESFA advises institutions that they do not need to copy passports and should record passport numbers or references only where necessary. 78. Foreign citizens will have Home Office documentation that outlines their status, for example, refugee status, humanitarian protection, discretionary leave or ELE/ELR in the UK. Asylum seekers will be able to produce an application registration card (ARC) which is issued on or close to the date of their asylum claim. The date of issue will be recorded on the ARC. European Union, European Economic Area or Swiss students can use an online service to prove their immigration status. Institutions can continue to accept European Union citizens' passports and identity cards as evidence of their immigration status until 30 June 2021.",189
79-institution-management-must-p26-57-6e07466e,26,56,"Institution management must check enrolment forms to see if evidence has been gathered on the residency status and eligibility of the student. Learning agreement and enrolment forms 80. ESFA considers it essential that students have access to clear and full information on any charges for their programme (that must comply with the guidance in paragraph 16) before enrolment and that they are provided with pre-entry advice and guidance. The successful outcome of pre-entry advice and guidance is a learning agreement or enrolment form signed by the student and the institution. While recognising that different types of student may require different approaches to advice and guidance, the learning agreement/enrolment form (either as separate or combined forms) must provide confirmation that the following broad areas have been covered: a. the choice of learning programme b. entry requirements for each learning aim within the learning programme c. an assessment of the suitability of the learning programme d. support for the student, and e. the nature of the procedures involved in the process of advice and guidance",174
81-an-institution-must-retain-p27-58-abb9c629,27,57,"An institution must retain a learning agreement and/or enrolment form signed on behalf of the institution and by the student as compliance evidence to support its funding claim. While all students funded by ESFA must have a learning agreement, the detail should be proportionate to the length of the learning programme. ESFA is aware that some institutions have invested in electronic signature recording systems and these are acceptable where the student has made an electronic or digital signature and the document has also been appropriately signed by a member of staff of the institution. In such cases the students must be given either an electronic or paper copy of the document they have signed. We have included our standard advice on how to evidence electronic signatures in paragraphs 134 to 137 and advice on additional flexibilities for any coronavirus (Coronavirus) lockdown periods in paragraphs 138 to 142. Institutions must ensure they are not recruiting students already enrolled on study programmes with other funded institutions or act in any way to entice students away from any existing study programmes.",179
82-the-learning-agreement-and-p27-59-1cb56a99,27,58,"The learning agreement and/or enrolment form must include the following key details: a. the student's name, address (including the postcode and time spent at that address), age and residency status, which will indicate whether the student is a home or overseas student. For students not resident in the United Kingdom for the 3 years prior to the commencement of their programme, institutions must be able to evidence alternative student eligibility as set out in paragraphs 39 to 41 b. the learning programme and expected student outcomes, including start and end dates for all learning aims c. the number of planned hours or other planned funded activities in each year of the programme d. where provision, including Information, Advice and Guidance for the student, is delivered by a subcontractor the Education and Skills Funding Agency funded institution should make sure that Information, Advice and Guidance of an equivalent quality is being delivered to these students e. evidence of the assessment and guidance process by which the learning agreement was reached must be recorded f. all students must have seen the privacy notice (formerly the data protection statement) included in the Individualised Learner Record Specification Document Appendix F during their enrolment process",201
g-confirmation-that-part-time-p27-60-3e84c4a9,27,59,"g. confirmation that part time students are not enrolled on any funded study programmes at other institutions must be included within these documents. Institutions enrolling students on short part time study programmes must use the Learner Record Service and the student Personal Learning Record to verify that such students are only attending their own institution 83. All institutions must make sure that they and all of their subcontractors fully understand the rules on student eligibility. Enrolment forms completed by subcontractors must fully address the issue of evidencing student eligibility. This is particularly important if the subcontractor is only recording that they have seen any necessary supporting documentary evidence, rather than copying the documentation with the enrolment form to the institution. Institutions must ensure that their subcontractors make available, on a sample basis at least, either clear records or actual copies of the documentation being used to support the eligibility of their students.",152
4-study-programme-eligibility-p28-61-cda63362,28,60,"Study programme eligibility Introduction 84. The programme eligibility guidance reflects the government's view that it is not for the government or its agencies to determine which study programme or individual qualifications a student should take. However, institutions must comply with the rules in annex D on the delivery of English and maths to meet the funding condition. 85. Institutions through their information, advice and guidance (Information, Advice and Guidance) processes, should determine the curriculum offer to meet the needs of students, including their Higher Education entry and employment entry needs. 86. For 14 to 19-year-old students, we expect institutions now and in the future to deliver qualifications from regulated awarding bodies while taking account of the concerns expressed in the Wolf Review that students need 'a balanced and broad programme of study'.",133
educational-progression-87-ins-p28-62-293a381c,28,61,"Educational progression: Institutions must be able to demonstrate educational progression for students recruited onto programmes funded by ESFA and be able to record evidence of good educational reasons for individual students recruited to programmes which do not provide progression. All such students should only make up a small percentage of the total student cohort. However, we exclude programmes funded under the one-year offer for 18 and 19-year-olds from this consideration, as the offer is intended to deliver programmes in high value subjects to students who are otherwise at risk of being not in education, employment or training (NEET).",99
resits-and-retakes-88-when-lea-p29-63-9a133b9f,29,62,"Resits and retakes: When learning programmes are designed to enable students to resit or retake examinations and assessments these are not generally eligible for funding as the activity has already been funded. 89. When there are exceptional circumstances outside the control of the student or institution, such as a period of long term sickness or good educational reasons then the retake delivery hours for individual students may be included in the funded study programme hours. These students must only make up a small percentage of the total 16 to 19 funding student cohort. However, we exclude programmes funded under the one-year offer for 18 and 19-year-olds from this consideration, as the offer is intended to deliver programmes in high value subjects to students who are otherwise at risk of being NEET.",132
90-for-this-funding-year-only-p29-64-6300801d,29,63,"For this funding year only students with a planned end date of June or July 2021 can retake or resit any portion of their 2020/2021 academic year academic year study where they have been exceptionally and particularly severely impacted by the Covid-19 pandemic, and where this clearly enables them to progress. Institutions should encourage the vast majority of their student cohort to progress to a suitable destination in education, training or the workplace, and should only use this offer where there is a clear benefit over other alternatives (for example, doing another course of study). Institutions should flag these students in the Individualised Learner Record or school census. Further detail on Repeat year funding is available from our website. For all funded repeat periods of study by their inclusion in planned hour returns no exam or tuition fees should be charged to the student. Where a student fails to complete a learning aim in the expected time span and stays on for additional time, not in the circumstances described above, including revision sessions or resits, institutions must not record any further funding. Institutions must not include any planned hours in data funding returns for students who are only retaking examinations.",198
91-general-certificate-of-seco-p29-66-8477bed0,29,64,"General Certificate of Secondary Education in English and/or maths where the student has not yet achieved either a grade 9 to 4 or a A* to C in these subjects are not treated as retakes for funding purposes. Eligible provision 92. In the majority of cases young people should be enrolled either in learning which leads to: a. an external certificate offered by a regulated awarding organisation and approved on the ESFA list of qualifications approved for funding 14 to 19, or b. a substantial work placement to prepare them for progression to an apprenticeship or other employment c. or enrolled on a T Level 93. ESFA does not fund study programmes of less than 2 weeks' duration. Whilst there is no minimum number of hours that a study programme must have, from this year no student's planned hours should exceed 40 hours per week. 94. The start qualifying period is set at 6 weeks for students with study programmes of 450 or more planned hours or programmes of more than 24 weeks and 2 weeks for all part time students below 450 planned hours whose programme is due to take between 2 weeks and 24 weeks. You can find more information on the qualifying period in the Funding rates and formula guidance.",214
95-students-whose-programmes-d-p30-67-14757368,30,65,"Students whose programmes do not meet the full time criteria within the funding year will be treated as part time for funding purposes. This includes students whose programme crosses 2 academic years but is not full time within either year. This should not affect the normal delivery of full time programmes across 2 funding years where students undertake more organised examination preparation in the second year. 96. Full time students are not eligible for part time funding at a different institution if enrolled at more than one institution at the same time, in the same academic year.",98
planned-hours-for-study-progra-p30-68-b7be7f87,30,66,"Planned hours for study programmes 97. Funding for study programmes is based on their size, measured in planned hours. Hours are categorised as either qualification hours (planned learning hours) or nonqualification hours (planned employment, enrichment and pastoral (EEP) hours). The number of hours a student may study during a week should not be greater than the maximum number of hours a young person can legally work during a week and from this year the number of hours a student may study should not be greater than 40 hours per week and both the study programme's planned hours and planned dates will need to reflect this. 98. Planned hours are those that are directly related to the student's study programme and that: a. are timetabled, organised and/or supervised by the institution b. take place in line with the institution's normal working pattern Qualification hours for study programmes",146
99-for-funding-purposes-study-p30-69-6dfac77d,30,67,"For funding purposes, study programmes must only include qualifications approved for teaching to 16 to 19 funding year olds on the ESFA list of qualifications approved for funding 14 to 19, or any alternative list which may be published by the Department for Education (Department for Education) in the future. The qualifications must also be listed as valid for 16 to 19 funding funding in the Find a learning aim which will replace the Learning Aim Reference System (Learning Aim Reference Service). However only those applied and technical qualifications that have been approved by Department for Education will be reported in performance tables.2 100. For students capable of studying and achieving either A levels or a substantial vocational qualification, the qualification should usually be at a level above the student's prior achievement. For students on programmes for which a core aim needs to be recorded, this substantial qualification must be recorded as the core aim. You can find more information on core aims in the Funding rates and formula guidance. 101. For students who are not yet ready to study and achieve substantial qualifications, their study programme may consist of substantial work experience and employability",196
skills-plus-english-and-maths-p31-70-04ae3bf9,31,68,"skills plus English and maths qualifications that meet the condition of funding requirements if they have still to achieve these qualifications. 102. When students are allowed time away from the institution's premises to revise and prepare for exams this must also meet the criteria of being planned, being explicit in the student's timetable, and supervised and/or organised by a member of staff. Study leave should be time-limited and the weekly number of hours must not exceed the student's planned weekly hours for the overall study programme. Study leave must be supervised or organised by the institution, for example by requiring the completion of structured revision or practice papers that are marked by a member of staff and where the student is given feedback. These hours can be counted for both years 12 and year 13. Non-qualification hours for study programmes 103. Non-qualification hours cover employment, enrichment and pastoral (EEP) activity. These hours must be timetabled, organised and/or supervised by the institution. 104. Non-qualification hours can include, for example:",168
a-time-spent-working-towards-i-p31-71-bccf1356,31,69,"a. time spent working towards internally certificated qualifications, that is, qualifications developed, assessed, and awarded within the funded institution b. time spent gaining experience or other non-qualification activity (including activity to give young people the skills they need to live more independently and be integrated within their community) c. tutorial time d. time spent on work experience, other work-related activities 2 '16 to 18 accountability headline measures: technical guide', Department for Education (Department for Education). e. volunteering and/or community activities or enrichment activities organised and quality assured by or on behalf of the institution whether paid or not, including activity such as the Duke of Edinburgh Award that might lead to an award but is not listed on the ESFA list of qualifications approved for funding 14 to 19 f. enrichment activity, such as personal and social development",138
105-work-experience-and-other-p32-72-120636e2,32,70,"Work experience and other work-related learning or activities are designed to help students secure experience, job-related or specialist skills of direct benefit to their future employment or study goals. Work experience that the provider has planned, organised and supervised will be recorded as non-qualification activity and should be identified in Individualised Learner Record data returns using the work placement entity, or in the school census using the work experience learning aim references. Institutions must only include planned hours for work experience that takes place outside the institution's normal working hours when this is necessary to give students realistic experience of their chosen industry. The institution must also have evidence of support given outside normal working hours for such work experience. We recommend that institutions document and retain justification for delivering work experience out of normal working hours. 106.",139
107-many-students-will-look-fo-p32-73-af395152,32,71,"Many students will look for work experience opportunities independently, or take part time jobs. This independent work experience or part time work is not funded as part of a study programme. From 1 December 2021 prior approval is required from the ESFA if any such activity is being considered for inclusion in recorded planned hours and the institution will need to evidence to the ESFA how they are incurring costs that meet our cost definitions set out in paragraph 124. Neither paid employment or work experience where the student is being paid a ""look-a-like"" weekly allowance to attend the work experience can usually be recorded as fundable planned EEP hours. Non-qualification hours must not include the hours for T Level industry placements. 108. Virtual or distance learning elements of the study programme must be planned, timetabled and organised by the institution. 109. Non-qualification hours must not include time spent on externally certificated qualifications that are not approved for funding. These are not eligible for funding and must not be recorded under learning aim class codes.",176
110-non-qualification-hours-mu-p32-74-29010f83,32,72,"Non-qualification hours must not include homework or independent study/research that is not timetabled. 111. The time when a student is taking exams can also be included in the total planned hours. 112. Voluntary extracurricular activities and clubs that operate during breaks or outside the institution's normal working day must not be included as part of the study programme. T level planned hours 113. The planned hours recorded for T Level must not include industry placements, maths and English study, or additional qualifications that are not required for completion of the T Level but will include EEP. Industry placements have a separate funding rate, there is an additional payment for maths and English study in level 3 programmes, and the large programme uplift gives extra funding for AS and A levels taken in addition to a T Level.",138
recording-planned-hours-114-th-p33-75-5295e9d0,33,73,"Recording planned hours: The planned qualification and non-qualification hours for the student for the funding year are recorded in the Individualised Learner Record and in the school census. From 2021/2022 academic year onwards study programme and T Level programme planned hours are recorded in separate fields. Study programme planned hours reflect the hours planned for the academic year whereas T Level planned hours are recorded for the length of the T Level programme. For more information please refer to guidance for submitting the Individualised Learner Record and school census. 115. If the student is on a study programme that spans more than one funding year, the planned hours recorded in the data return must be set at the start of each funding year to only reflect the planned hours for the funding year from 1 August 2021 and 31 July 2022. 116. Institutions must ensure that the planned hours entered on data returns are realistic and deliverable to each individual student and are supported by auditable evidence that the eligible activity offered to students is timetabled and exists. 117. If the programme content changes within the first 6 weeks of the programme, the institution must update the planned hours.",200
118-when-institutions-calculat-p33-76-f7538222,33,74,"When institutions calculate planned hours using expected standard student attendance, institutions must use the average planned hours attended by students. This 3 Questions and answers on changes to planned hours are included in annex C to this document (Q10 to Q14); full guidance is in the 'Funding rates and formula' document. average must take account of students who both complete early and finish later than average.",67
119-when-institutions-recruit-p34-77-343bfd3e,34,75,"When institutions recruit students to start short study programmes, they must only record the planned hours for those associated planned short programmes. Institutions may plan programmes for students with the intention of starting the student on a small or nested qualification and progressing them onto a larger qualification when they are successful in the smaller one. In such cases, the planned hours for the programme must only include the hours for the smaller or nested qualification. When the institution is sure that the student will progress onto the larger qualification, they can update the planned hours to include the additional delivery. This advice applies equally whether or not there is a gap between a student's initial short study programme and their longer study programme.",125
120-when-an-institution-or-its-p34-78-8fca3129,34,76,"When an institution (or its subcontractors) closes a delivery centre during the funding year they must remove all planned hours after the closure date from all their data returns unless they have retained the students in a different delivery centre to complete their study programmes. This includes removing all planned hours after the closure date for students who withdrew from their study programme before the closure date. 121. Annexes B and C include more detail on planned hours' eligibility and qualifying periods. Eligibility evidence for study and T Level programme hours 122. ESFA expects a timetable or learning plan to be available as part of each student's enrolment process. It should set out the study programme that the student will follow, covering all the learning aims and other activities that make up the funded hours submitted in data returns. This document is likely to be the primary source of funding audit evidence. More information, including example summary timetables, is in annex B.",163
123-institutions-must-be-able-p34-79-f1f873c5,34,77,Institutions must be able to demonstrate that a robust system is in place for planning student programmes which are timetabled or roomed and align with staff timetables. There must be evidence that the significant majority of the students are attending the majority of their planned programme. It is inevitable that some planned activities will not run and that some student individual plans will change in year but this should not be the case for most students. Institutions must be monitoring/managing and reporting on student compliance with their study programmes and should also be monitoring delivery of study programmes by curriculum colleagues.,102
124-esfa-expects-non-qualifica-p35-80-6d6bb8a2,35,78,"ESFA expects non-qualification activity to be a coherent part of study programmes which support the delivery of nationally recognised qualifications for all students. Whilst recognising a higher level of non-qualification activity may be appropriate for some students on high needs programmes or those students who also hold an Education Health and Care plan. Some traineeship or supported internships programmes may also have a higher EEP content but are subject to the following guidance. For non-qualification activity to be eligible for funding, institutions must be able to evidence that they have incurred a cost in delivering the activity. For this reason, for example, homework after the end of the teaching day remains a non-fundable activity. In recording EEP hours as part of funding returns institutions must be able to evidence the costs they are incurring. For funding audit purposes, these costs should be reasonable and proportionate to the funding the EEP activity is generating. Additional funding audit attention will be made where the amount of EEP activity being funded makes up more than half the study programme funding. Where EEP activity is above this figure, auditors will need to see evidence of costs that can be directly related to the delivery of education and examples of recognised educational costs are now shown in Annex B: Table 1b.",190
125-institutions-must-also-be-p35-82-444dc25e,35,79,"Institutions must also be able to demonstrate how non-qualification activity improves either progression to further levels of study or entry into employment. 126. Institutions must have evidence that students have both started and attended for the year. When there is evidence of success in an externally awarded learning aim, this should be sufficient evidence that the student started and was retained on that aim. 127. Institutions are responsible for the content of students' study programmes, although ESFA expects them to follow the advice set out on planning and delivering study programmes. 128. When students have not achieved a General Certificate of Secondary Education grade 4 or grade C in maths and/or English, institutions must be able to show how they are assisting the student to achieve these qualifications. In study programmes, the provision of maths and English is enforced through the condition of funding, as set out in annex D. You can find full information on the condition of funding on GOV.UK. T Level have a maths and English exit requirement, as set out in T Level action plan 2019. Student attendance",183
institutions-must-have-evidenc-p35-83-6d378fd0,35,80,"Institutions must have evidence that individual students were undertaking the specified study programme during the learning period for which funding and retention is being recorded. 129. 130. For most students this will take the form of registers of attendance. Experience has shown these to be key records in supporting the accuracy of data returns. Regular management review of registers may, therefore, help institutions to ensure they make accurate data returns and to reduce the risk of making ineligible funding returns or claims to the funding body.",86
131-all-institutions-should-co-p36-84-187bea98,36,81,"All institutions should consider the benefits of a good register system to help them to monitor student attendance and progress. This will also support accurate data returns and funding claims. Register systems need to be proportionate in delivering benefits to institutions that offset the costs involved in running these systems and appropriate to the mode of delivery. ESFA offers no advice or preference on types of systems, which may be either paper-based or electronic, or a mixture of such systems. Advice on evidencing non face-to-face delivery is in Annex C paragraph 4 which states a withdrawn student who cannot attend registered sessions would be one failing to meet the following guidance on participation or contact: receipt of work or projects by the tutor (electronic or hard copy) log-on evidence to learning materials given to students by the institution • communication with the tutor that indicated that the student was still active on their learning aim, including planned contacts 132. Institutions must ensure that subcontracted organisations can evidence claimed student contact time with tutors to avoid eligibility issues over their subcontracted provision.",182
133-the-following-advice-on-re-p36-85-3d06c911,36,82,"The following advice on registers must also be taken into account: a. each specific session must have a register (only one register is needed where, for example, sessions are continuous or where only small breaks occur). It should include the day, time and duration of each session, and the number of planned hours to be delivered. For example, some institutions may simply use morning and afternoon registers or use electronic register systems to meet these requirements b. each register must include the name of the student, the student reference number and the name of the tutor(s). It must be completed at the start of each session with the relevant date and indicate attendance, absence or lateness. In the case of authorised absence, appropriate evidence of prior approval must be available c. the register must either be signed or initialled by the tutor at each session or record who approved the register entries d. the details recorded on the register must be consistent with the learning aims and other funded activities recorded on the student timetable",176
e-this-must-include-the-locati-p36-86-c656a27c,36,83,"e. this must include the location at which the provision is being delivered where this is outside the institution's usual premises f. institution management must undertake sample checks on student attendance in classes. Checks are especially important in the case of subcontracted delivery or provision Evidencing electronic signatures 134. We accept electronic evidence, including electronic/digital signatures. Where evidence is electronic, you must have wider systems and processes in place to assure you that learners exist and are eligible for funding. 135. Both electronic and digital signatures are acceptable, we do not specify which should be used, only that a secure process to obtain and store signatures is followed.",108
136-an-electronic-signature-is-p37-87-07652b8b,37,84,"An electronic signature is defined as any electronic symbol or process that is associated with any record or document where there is an intention to sign the document by any party involved. An electronic signature can be anything from a check box to a signature. A digital signature is where a document with an electronic signature is secured by a process making it non-refutable. It's a digital fingerprint which captures the act of signing by applying security to a document. Usually documents which have a digital signature embedded are extremely secure and cannot be accessed or amended easily. 137. Where an electronic or digital signature is being held, from any party for any reason, you must ensure it is non-refutable, this includes the definitions of both wet and dry signatures. Systems and processes must be in place to assure to us the original signature has not been altered. Where any document needs to be renewed, and a new signature taken, it must be clear from when the new document takes affect and both must be held. Alternative evidence for electronic or digital signatures during coronavirus (Coronavirus) restriction period",189
138-a-wet-signature-is-created-p37-88-fe66a2e0,37,85,"A wet signature is created when a person physically 'marks' a document. Where a provider has no digital or electronic systems and processes in place to capture a learner or employer signature, then under normal circumstances a wet signature is required for recruitment and evidence of continuing learning. 139. It is recognised that providers delivering training and/or recruiting learners during the coronavirus (Coronavirus) pandemic will experience difficulty in obtaining learner and employer wet signatures. Where providers do not have systems and processes in place for electronic/digital signatures, during the coronavirus (Coronavirus) restrictions, we will allow confirmation/evidence to be obtained through email as detailed below. 140. For the purpose of audit evidence, we expect a record of acknowledgement or adoption of a genuine electronic message or document. Acceptable alternative evidence includes: • an email from the learner (or for work experience employer email address) with details of the confirmation and their typed name at the end of the message • a typed name on an electronic form or document emailed from the learner",173
a-signed-scanned-document-att-p38-89-e06c69d7,38,86,"• a signed scanned document attached to an email from the learner; or • a photo taken on a camera/digital medium of the signed document attached to an email from the learner 141. We are allowing institutions to use this type of electronic confirmation (as detailed above) during the period of restrictions due to coronavirus (Coronavirus) only where no other useable digital or electronic processes exist. This is not to be used as alternative evidence as part of the institution's business as usual process once the coronavirus (Coronavirus) restrictions are lifted. 142. Following the period of coronavirus (Coronavirus) restrictions, institutions using the above alternative evidence must resume their usual process for obtaining wet signatures on relevant documentation. Institutions must ensure that all alternative evidence replacing wet signatures received during the coronavirus (Coronavirus) restrictions is genuine and irrefutable, and the evidence is retained for funding audit purposes. Ceasing to attend, withdrawal from course and learning agreement amendment forms",157
143-when-a-student-withdraws-f-p38-90-73871f86,38,87,"When a student withdraws from their programme or course, transfers to another programme or changes one of their learning aims or their mode of study, this must be indicated on an appropriate form used by the institution. This must be signed by the tutor, and used to ensure that the information on the data return is correct and that the learning agreement is amended correctly. Institutions should consider whether students should sign as well to confirm their consent to the change in their programme. We remind institutions that they have a legal duty to notify their local authority if a young person aged 16 or 17 leaves learning before their planned leaving date. 144. In some circumstances, institutions must amend the planned hours for students who withdraw from learning aims. Further guidance on withdrawals is set out in annex C.",141
ineligible-provision-145-the-f-p38-91-8b69f1eb,38,88,"Ineligible provision: The following provision is not eligible for ESFA funding and must not be included within students' funded planned hours: a. qualifications falling out of approval. ESFA will only fund continuing students enrolled on programmes before the funding validity's last date for new starts, in order to enable them to complete. The course itself (that is, the teaching and learning, and not just the student induction) must have started before the approval end date. When students are enrolled on a qualification nearing the end of its approval, institutions are responsible for checking qualification availability, final registration and certification end dates with the awarding body b. whole prescribed Higher Education qualifications (see 'Higher-level programmes for students' for more information) c. company-specific learning aims",124
d-vendor-certificated-courses-p39-92-afbfe7f1,39,89,"d. vendor-certificated courses, unless they are either approved or are embedded within and contribute directly towards the generic learning required to achieve an approved qualification on the ESFA list of qualifications approved for funding 14 to 19. Examples of vendor certificates include those of information technology companies that are specific to those companies' own products and services e. primary and advanced driving skills (for example, defensive driving) or piloting skills f. short study programmes of fewer than 2 weeks, including those delivered through subcontracted arrangements g. other learning aims that are considered to be fully funded from other sources, including all full cost-recovery provision h. approved qualifications not identified on the Find a learning aim which will replace the Learning Aim Reference Service (Learning Aim Reference Service) as eligible for funding i. qualifications that are offered by external organisations (those outside the funded institution) that are not approved for funding",150
j-students-are-also-ineligible-p39-93-7fa002bc,39,90,"j. students are also ineligible for funding if they are recruited to attend short programmes at one institution while they are already enrolled on either funding bodies funded provision or are full time Higher Education students at another institution. The funding principle remains that students must only be funded at one institution at a time k. students who have been fully funded, that is, recorded at the highest funding bands 5 or 4a or for T Level and where retention has been recorded are ineligible for further study programme funding at other funded institutions during the summer term l. students are also ineligible for funding if their whole programme is delivered through distance subcontracted arrangements which do not comply with the guidance in the subcontracting control regulations",127
5-definitions-and-terminology-p40-94-5b1d83dd,40,91,"Definitions and terminology: This section provides detailed definitions and funding explanations of some of the key terms used in the 4 books that make up the document called funding guidance for young people and of relevance to funding. Explanations of acronyms are provided in annex A. Absence and actual leaving date 147. An institution may continue to record funding for reasonable student absences of up to 4 consecutive weeks (28 days) if the student continues in learning after the absence. Institutions must withdraw students from their programmes if they do not return to learning after being absent for 4 weeks. ESFA does not distinguish between authorised and unauthorised absence for funding purposes. 148. The actual leaving date is the date when the student completes their learning activity, or the date when the student is deemed to have terminated the learning activity, if this is an earlier date (as set out in the Individualised Learner Record specification 2021/2022 academic year). Full guidance on withdrawals is available in annex C.",170
access-to-higher-education-149-p40-95-c6ddb295,40,92,Access to Higher Education: All QAA-recognised Access to Higher Education courses will lead to the award of the Access to Higher Education Diploma and will be identifiable by a qualification title using a standard format: Access to Higher Education Diploma (subject/area of study). This and other requirements are detailed in the Diploma credit and qualification specifications available from the Access to Higher Education website. Access to Higher Education programmes are designed to support adults seeking entry to Higher Education and ESFA only funds young people on these programmes by exception.,91
achievement-150-the-current-da-p40-96-9d2b68fc,40,93,"Achievement: The current data arrangements continue the historical process of recording actual achievement in data returns. Achievement gives institutions easy audit compliance evidence of retention particularly in relation to the student's core learning aim. 151. Evidence that a student has achieved must be available. This could be: a. evidence of entry to and completion of a relevant programme b. an official results list or slip, or a certificate issued by the awarding body (either by paper or electronic records), or c. for institution-accredited programmes, a record of achievement, institution certification, or progress reports indicating achievement of the student's learning programme 152. Institutions must have evidence that supports records or claims for achievement of non-accredited learning aims that is as robust as that for qualifications that are regulated by Ofqual. 153. Where achievement is recorded, institutions must retain learning outcomes records with the associated initial assessment records or learning agreements, showing that the student has met the agreed learning aims and achieved the appropriate objective.",165
approved-qualifications-and-fi-p41-97-d55c3087,41,94,"Approved qualifications and Find a Learning Aim as it replaces Learning Aim Reference Service 154. An approved qualification is a current qualification listed on the ESFA list of qualifications approved for funding 14 to 19. 155. The Find a learning aim which will replace the Learning Aim Reference Service (Learning Aim Reference Service) is the repository for detailed information on learning aims. If you have queries or questions on Find a Learning Aim or Learning Aim Reference Service, please contact the ESFA service desk.",84
bursary-funding-156-esfa-gives-p41-98-b72639c2,41,95,Bursary funding: ESFA gives financial support for particular groups of young students. This includes student support funds that support the student to stay in learning. You can find further information on this funding on GOV.UK. Collaboration 157. Consortia must ensure that students within the consortium are recorded on only one institution's records. The institution at which students are recorded for funding at the start of the year must record on their own Individualised Learner Record or school census returns the qualifications studied by its students at other institutions through collaborative arrangements. 158. Institutions must not record for funding purposes on either their Individualised Learner Record return or their school census students who are already studying qualifications with other institutions who are recording the students for funding purposes.,128
full-time-and-part-time-studen-p41-99-bc8512cf,41,96,"Full time and part time students: For funding purposes a full time student (aged 16 to 17 or aged 18 to 24 with an Education, Health and Care Plan) is one enrolled on a programme of at least 540 planned hours and a part time student is engaged in a study programme of less than 540 planned hours in the academic year. For students aged 18 and who are not recorded as students with high needs the full time threshold is 450 planned hours. 160. For some purposes other than funding calculations, it is important to measure whether a student is in full time education and training over a period other than a year. In this context, students engaged in education or training of more than 16 planned hours a week are also considered full time during this period.",140
higher-level-programmes-for-st-p42-100-9577f6a0,42,97,"Higher-level programmes for students:. ESFA will support qualifications which enable students on level 3 programmes, to do some study above level 3 (known as higher-level study). 162. Section 28A of the Education Act 2002 gives governing bodies of maintained schools in England (and Wales) the power to arrange the provision of higher level study for students in schools. 163. We fund higher-level study under the following conditions: a. the Higher Education provision must be a small part of the provision, typically instead of an AS level and the young person must be enrolled on a full level 3 programme including the Higher Education provision b. institutions must substitute higher-level and more stretching provision in place of courses and qualifications that students might otherwise pursue c. the provision must involve an appropriate amount of teaching or appropriate distance learning; it would not be acceptable for Higher Education provision to be undertaken purely as private study d. where distance or online learning is involved, there must be no charge to the student for course materials, supporting books, access to IT and similar activities or matters",184
